ride_id,user_id,driver_id,ride_datetime,pickup_location,dropoff_location,distance_km,ride_duration_min,fare_amount,payment_method,ride_status,user_rating,driver_rating,surge_pricing,promo_code_used,vehicle_type,weather_condition,traffic_level,driver_experience_years,user_type
R000001,U8270,D464,4/1/2024 17:18,Financial District,Midtown,30.86,85.00,96.59,Mobile Wallet,Completed,4.9,4.9,Yes,Yes,SUV,Clear,Low,1,Frequent
R000002,U1860,D676,2/1/2024 11:24,Mall,Financial District,19.24,60.00,75.84,Credit Card,Completed,3.3,3.9,No,Yes,Sedan,Rainy,Medium,7,New
R000003,U6390,D425,7/1/2024 0:38,Suburbs,University,2.27,9.00,11.16,Credit Card,Completed,4.5,3.7,No,Yes,Motorcycle,Clear,High,1,New
R000004,U6191,D680,7/1/2024 16:19,Suburbs,Airport,22.87,55.00,77.68,Cash,Completed,3.3,4.9,No,No,SUV,Foggy,Low,6,Returning
R000005,U6734,D732,2/1/2024 21:27,Midtown,Downtown,18.59,42.00,66.59,Cash,No-show,2.8,2.6,No,No,Sedan,Clear,Low,9,New
R000006,U7265,D720,5/1/2024 19:47,Airport,Mall,8.49,27.00,39.27,Credit Card,Completed,4.0,3.3,Yes,No,Sedan,Clear,Medium,5,Frequent
R000007,U1466,D927,6/1/2024 17:29,Suburbs,Suburbs,26.99,100.00,87.40,Cash,Completed,4.3,4.3,No,No,Electric,Rainy,Low,9,Returning
R000008,U5426,D346,4/1/2024 13:45,Suburbs,Midtown,32.74,108.00,94.39,Credit Card,Completed,3.6,3.3,Yes,No,SUV,Snowy,Medium,8,Returning
R000009,U6578,D533,7/1/2024 4:58,Suburbs,University,11.97,32.00,39.18,Mobile Wallet,No-show,3.3,1.5,No,Yes,SUV,Clear,Low,2,Returning
R000010,U9322,D192,5/1/2024 19:19,Downtown,Financial District,17.79,70.00,61.68,Credit Card,Completed,4.1,3.7,No,No,Sedan,Foggy,Low,5,Returning
R000011,U2685,D367,2/1/2024 0:39,Suburbs,Airport,5.36,21.00,26.40,Cash,Completed,3.9,5.0,No,No,SUV,Clear,Medium,5,New
R000012,U1769,D714,7/1/2024 13:33,Suburbs,Financial District,32.61,115.00,97.64,Mobile Wallet,Completed,3.6,3.0,No,No,Sedan,Rainy,Medium,4,Frequent
R000013,U7949,D723,4/1/2024 17:31,Financial District,Airport,11.84,43.00,39.82,Cash,Canceled,2.9,2.7,No,No,SUV,Rainy,Medium,1,Frequent
R000014,U3433,D420,6/1/2024 10:18,University,University,7.62,27.00,32.82,Credit Card,Completed,4.0,3.9,No,No,Sedan,Foggy,Low,8,Frequent
R000015,U6311,D915,6/1/2024 2:24,Downtown,Downtown,17.27,43.00,53.01,Credit Card,Completed,4.1,3.5,No,No,Sedan,Rainy,High,5,New
R000016,U6051,D955,7/1/2024 19:17,Suburbs,Downtown,2.47,6.00,13.34,Credit Card,Completed,3.8,3.2,No,Yes,Motorcycle,Foggy,Medium,5,New
R000017,U7420,D161,5/1/2024 20:29,University,Mall,9.60,30.00,32.53,Credit Card,Completed,4.0,3.7,No,Yes,SUV,Rainy,Medium,2,New
R000018,U2184,D399,6/1/2024 12:02,Suburbs,Midtown,3.30,13.00,15.14,Cash,Completed,4.7,3.6,No,Yes,Motorcycle,Rainy,Medium,6,Returning
R000019,U5555,D502,3/1/2024 1:14,Midtown,Midtown,5.33,20.00,26.30,Credit Card,No-show,2.7,1.9,Yes,No,Electric,Rainy,Low,9,Frequent
R000020,U4385,D747,2/1/2024 21:19,Midtown,Airport,4.81,11.00,19.30,Credit Card,Completed,4.1,4.7,No,No,Sedan,Rainy,Low,1,Returning
R000021,U7396,D666,5/1/2024 14:45,University,Airport,30.66,65.00,108.90,Credit Card,Completed,3.4,4.8,No,Yes,Motorcycle,Foggy,Medium,2,New
R000022,U9666,D719,7/1/2024 20:23,Downtown,Airport,32.63,122.00,101.00,Credit Card,Completed,3.2,4.3,Yes,Yes,Motorcycle,Clear,Medium,4,Returning
R000023,U3558,D402,1/1/2024 15:58,Financial District,Airport,17.13,55.00,62.46,Mobile Wallet,No-show,2.0,1.8,No,No,Sedan,Clear,Medium,7,Frequent
